ANT1,89.04,138.73,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,79.20,126.26,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,82.53,117.38,90.00,10uF,PERFECT_0402_0402
C10,77.90,125.56,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,77.87,126.36,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,76.51,128.63,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,75.70,128.48,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,70.27,128.60,180.00,4.7µF,PERFECT_0402_0402
C15,73.89,128.87,90.00,1.0µF,PERFECT_0402_0402
C16,74.89,128.91,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,67.15,126.06,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,67.13,123.74,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,63.21,137.82,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,79.92,130.28,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,67.59,118.89,0.00,4.7uF/25V,PERFECT_0402_0402
C20,71.99,120.05,0.00,4.7µF,PERFECT_0402_0402
C21,69.82,119.81,180.00,4.7µF,PERFECT_0402_0402
C22,79.56,123.79,270.00,N.C,NORDIC_NRF_3_RESC0201_L
C23,54.58,135.99,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,55.62,135.01,90.00,10uF,PERFECT_0402_0402
C25,49.83,134.85,270.00,22uF,PERFECT_0402_0402
C27,88.44,113.25,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,58.71,112.26,0.00,1uF,GRM011R60J152KE01L_1_0201
C3,78.01,123.72,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,69.77,112.06,0.00,1uF,GRM011R60J152KE01L_1_0201
C31,78.77,110.34,180.00,1uF,GRM011R60J152KE01L_1_0201
C32,51.84,114.79,90.00,1uF,GRM011R60J152KE01L_1_0201
C33,50.06,136.97,90.00,22uF,PERFECT_0402_0402
C34,52.66,110.75,270.00,0.1uF,GRM011R60J152KE01L_1_0201
C37,59.70,138.07,270.00,1uF,GRM011R60J152KE01L_1_0201
C38,59.42,139.87,180.00,1uF,GRM011R60J152KE01L_1_0201
C39,60.26,138.95,0.00,10uF,PERFECT_0402_0402
C4,79.56,124.96,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,63.23,130.76,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,64.05,130.54,270.00,4.7uF,PERFECT_0402_0402
C5,68.74,127.70,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,69.20,121.76,270.00,4.7µF,PERFECT_0402_0402
C7,73.80,120.24,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,78.31,120.59,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,78.01,122.91,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,69.09,115.30,270.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,66.83,130.85,180.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,65.58,115.40,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,72.65,115.33,90.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,62.61,127.56,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,62.65,118.31,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,62.65,116.81,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,61.94,115.43,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,62.58,128.65,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,61.04,125.29,270.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,62.63,124.05,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,62.64,122.53,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,62.83,121.15,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,62.62,119.73,180.00,1uF/50V,PERFECT_0402_0402
IC1,57.64,139.50,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,52.28,112.79,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,61.75,135.24,270.00,BMA423,BMA423_BMA423
IC9,52.71,135.72,270.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,57.74,124.00,270.00,503480-2400,503480-2400_5034802400
J2,86.34,127.76,270.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,72.66,138.00,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,78.23,124.63,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,71.83,128.80,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,72.84,128.80,270.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,79.06,114.94,90.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,51.28,132.50,180.00,MLP2016SR47MT0S1,MLP2016SR47MT0S1_INDC2016X100N
Q1,84.81,117.03,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,85.09,113.52,90.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,55.66,137.25,270.00,3K3,ERA-1AEB3401C_0201
R18,55.06,139.99,270.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,85.91,110.67,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,73.79,132.74,180.00,5K1,CPF0201D7K68C1_0201
R2,51.67,137.96,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,84.78,110.81,90.00,10K,CPF0201D7K68C1_0201
R2_USB,70.49,133.36,0.00,5K1,CPF0201D7K68C1_0201
R3,61.20,137.60,270.00,0,CPF0201D7K68C1_0201
R4,53.33,137.79,270.00,0,ERA-1AEB3401C_0201
R5,69.29,112.04,180.00,10k,CPF0201D7K68C1_0201
R7,58.13,112.24,180.00,10K,CPF0201D7K68C1_0201
R8,77.95,110.74,180.00,10K,CPF0201D7K68C1_0201
R9,57.26,137.48,270.00,10k,ERA-1AEB3401C_0201
R_PWR_EPD,82.37,114.76,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,87.47,110.18,270.00,2.2,CPF0201D7K68C1_0201
SJ1,86.75,108.57,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,60.18,110.25,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,82.08,110.29,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,71.14,110.33,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,80.91,120.00,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,57.98,135.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,91.15,119.94,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,58.89,114.77,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,55.03,111.87,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,54.61,114.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,91.75,124.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,54.69,138.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,52.68,139.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,92.45,126.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,92.45,130.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,75.99,119.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,90.71,112.78,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,56.63,132.54,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,73.66,124.19,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,88.59,117.06,90.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,79.65,128.27,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,68.72,124.93,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
